"","gender","race_ethnicity","parent_edulevel","lunch","test_preparation_course","subject","score"
"95","female","group B","some college","standard","none","math",79
"96","male","group C","associate's degree","free/reduced","completed","math",78
"97","male","group B","some high school","standard","completed","math",65
"98","female","group E","some college","standard","completed","math",63
"99","female","group D","some college","free/reduced","none","math",58
"100","female","group D","bachelor's degree","standard","none","math",65
"101","male","group B","some college","standard","none","math",79
"102","male","group D","bachelor's degree","standard","completed","math",68
"103","female","group D","associate's degree","standard","none","math",85
"104","male","group B","high school","standard","completed","math",60
"105","male","group C","some college","standard","completed","math",98
"106","female","group C","some college","standard","none","math",58
"107","female","group D","master's degree","standard","none","math",87
"108","male","group E","associate's degree","standard","completed","math",66
"109","female","group B","associate's degree","free/reduced","none","math",52
"110","female","group B","some high school","standard","none","math",70
"111","female","group D","associate's degree","free/reduced","completed","math",77
"112","male","group C","high school","standard","none","math",62
"113","male","group A","associate's degree","standard","none","math",54
"114","female","group D","some college","standard","none","math",51
"115","female","group E","bachelor's degree","standard","completed","math",99
"116","male","group C","high school","standard","none","math",84
"117","female","group B","bachelor's degree","free/reduced","none","math",75
"118","female","group D","bachelor's degree","standard","none","math",78
"119","female","group D","some high school","standard","none","math",51
"120","female","group C","some college","standard","none","math",55
"121","female","group C","bachelor's degree","standard","completed","math",79
"122","male","group B","associate's degree","standard","completed","math",91
"123","female","group C","some college","standard","completed","math",88
"124","male","group D","high school","free/reduced","none","math",63
"125","male","group E","some college","standard","none","math",83
"126","female","group B","high school","standard","none","math",87
"127","male","group B","some high school","standard","none","math",72
"128","male","group D","some college","standard","completed","math",65
"129","male","group D","master's degree","standard","none","math",82
"130","female","group A","bachelor's degree","standard","none","math",51
"131","male","group D","master's degree","standard","none","math",89
"132","male","group C","some high school","free/reduced","completed","math",53
"133","male","group E","some college","free/reduced","completed","math",87
"134","female","group C","some college","standard","completed","math",75
"135","male","group D","bachelor's degree","free/reduced","completed","math",74
"136","male","group C","bachelor's degree","standard","none","math",58
"137","male","group B","some high school","standard","completed","math",51
"138","male","group E","high school","standard","none","math",70
"139","female","group C","associate's degree","standard","none","math",59
"140","male","group D","some college","standard","completed","math",71
"141","female","group D","some high school","standard","none","math",76
"142","female","group C","some college","free/reduced","none","math",59
"143","female","group E","some college","free/reduced","completed","math",42
"144","male","group A","high school","standard","none","math",57
"145","male","group D","some college","standard","none","math",88
"146","female","group C","some college","free/reduced","none","math",22
"147","male","group B","some high school","standard","none","math",88
"148","male","group C","associate's degree","free/reduced","none","math",73
"149","female","group D","bachelor's degree","standard","completed","math",68
"150","male","group E","associate's degree","free/reduced","completed","math",100
"151","male","group A","some high school","standard","completed","math",62
"152","male","group A","bachelor's degree","standard","none","math",77
"153","female","group B","associate's degree","standard","completed","math",59
"154","male","group D","bachelor's degree","standard","none","math",54
"155","male","group D","some high school","standard","none","math",62
"156","female","group C","some college","standard","completed","math",70
"157","female","group E","high school","free/reduced","completed","math",66
"158","male","group B","some college","free/reduced","none","math",60
"159","female","group B","associate's degree","standard","completed","math",61
"160","male","group D","associate's degree","free/reduced","none","math",66
"161","male","group B","associate's degree","free/reduced","completed","math",82
"162","female","group E","some college","free/reduced","completed","math",75
"163","male","group B","master's degree","free/reduced","none","math",49
"164","male","group C","high school","standard","none","math",52
"165","female","group E","master's degree","standard","none","math",81
"166","female","group C","bachelor's degree","standard","completed","math",96
"167","male","group C","high school","free/reduced","completed","math",53
"168","female","group B","master's degree","free/reduced","completed","math",58
"169","female","group B","high school","standard","completed","math",68
"170","female","group C","some college","free/reduced","completed","math",67
"171","male","group A","high school","standard","completed","math",72
"172","male","group E","some high school","standard","none","math",94
"173","female","group D","some college","standard","none","math",79
"174","female","group C","associate's degree","standard","none","math",63
"175","female","group C","bachelor's degree","free/reduced","completed","math",43
"176","female","group C","master's degree","standard","completed","math",81
"177","female","group B","high school","free/reduced","completed","math",46
"178","female","group C","associate's degree","standard","completed","math",71
"179","female","group B","master's degree","free/reduced","completed","math",52
"180","female","group D","some high school","standard","completed","math",97
"181","male","group C","master's degree","free/reduced","completed","math",62
"182","female","group C","some college","free/reduced","none","math",46
"183","female","group E","high school","standard","none","math",50
"184","female","group D","associate's degree","standard","none","math",65
"185","male","group C","some high school","free/reduced","completed","math",45
"186","male","group C","associate's degree","free/reduced","completed","math",65
"187","male","group E","high school","standard","none","math",80
"188","male","group D","some high school","standard","completed","math",62
"189","male","group B","some high school","free/reduced","none","math",48
"190","female","group C","bachelor's degree","standard","none","math",77
"191","female","group E","associate's degree","standard","none","math",66
"192","male","group D","some college","standard","completed","math",76
"193","female","group B","some high school","standard","none","math",62
"194","male","group D","some college","standard","completed","math",77
"195","female","group C","master's degree","standard","completed","math",69
"196","male","group D","associate's degree","standard","none","math",61
"197","male","group C","some high school","free/reduced","completed","math",59
"198","male","group E","high school","free/reduced","none","math",55
"199","female","group B","some college","free/reduced","none","math",45
"200","female","group B","bachelor's degree","free/reduced","none","math",78
"201","female","group C","associate's degree","standard","completed","math",67
"202","female","group D","some college","free/reduced","none","math",65
"203","male","group C","associate's degree","standard","none","math",69
"204","female","group B","associate's degree","standard","none","math",57
"205","male","group C","some college","standard","none","math",59
"206","male","group D","some high school","standard","completed","math",74
"207","male","group E","bachelor's degree","standard","none","math",82
"208","male","group E","high school","standard","completed","math",81
"209","female","group B","some college","free/reduced","none","math",74
"210","female","group B","some college","free/reduced","none","math",58
"211","male","group D","some high school","free/reduced","completed","math",80
"212","male","group C","some college","free/reduced","none","math",35
"213","female","group C","high school","free/reduced","none","math",42
"214","male","group C","associate's degree","free/reduced","completed","math",60
"215","male","group E","high school","standard","completed","math",87
"216","male","group B","some high school","standard","completed","math",84
"217","female","group E","associate's degree","free/reduced","completed","math",83
"218","female","group C","high school","free/reduced","none","math",34
"219","male","group B","high school","free/reduced","none","math",66
"220","male","group B","some high school","standard","completed","math",61
"221","female","group D","high school","standard","completed","math",56
"222","male","group B","associate's degree","standard","none","math",87
"223","female","group C","some high school","free/reduced","none","math",55
"224","male","group D","some high school","standard","none","math",86
"225","female","group B","associate's degree","standard","completed","math",52
"226","female","group E","master's degree","free/reduced","none","math",45
"227","female","group C","some college","standard","none","math",72
"228","male","group D","high school","standard","none","math",57
"229","male","group A","some high school","free/reduced","none","math",68
"230","female","group C","some college","standard","completed","math",88
"231","male","group D","some college","standard","none","math",76
"232","male","group C","associate's degree","standard","none","math",46
"233","female","group B","bachelor's degree","standard","none","math",67
"234","male","group E","some high school","standard","none","math",92
"235","male","group C","bachelor's degree","standard","completed","math",83
"236","male","group D","associate's degree","standard","none","math",80
"237","male","group D","bachelor's degree","free/reduced","none","math",63
"238","female","group D","some high school","standard","completed","math",64
"239","male","group B","some college","standard","none","math",54
"240","male","group C","associate's degree","standard","none","math",84
"241","male","group D","high school","free/reduced","completed","math",73
"242","female","group E","bachelor's degree","standard","none","math",80
"243","female","group D","high school","standard","none","math",56
"244","male","group E","some college","standard","none","math",59
"245","male","group D","some high school","standard","none","math",75
"246","male","group C","associate's degree","standard","none","math",85
"247","male","group E","associate's degree","standard","none","math",89
"248","female","group B","high school","standard","completed","math",58
"249","female","group B","high school","standard","none","math",65
"250","male","group C","high school","standard","none","math",68
"251","male","group A","some high school","standard","completed","math",47
"252","female","group D","some college","free/reduced","none","math",71
"253","female","group B","some high school","standard","completed","math",60
"254","male","group D","master's degree","standard","none","math",80
"255","male","group D","high school","standard","none","math",54
"256","female","group E","some college","standard","none","math",62
"257","female","group C","associate's degree","free/reduced","none","math",64
"258","male","group C","associate's degree","standard","completed","math",78
"259","female","group B","some college","standard","none","math",70
"260","female","group C","master's degree","free/reduced","completed","math",65
"261","female","group C","some high school","free/reduced","completed","math",64
"262","male","group C","some college","standard","completed","math",79
"263","female","group C","some high school","free/reduced","none","math",44
"264","female","group E","high school","standard","none","math",99
"265","male","group D","high school","standard","none","math",76
"266","male","group D","some high school","free/reduced","none","math",59
"267","female","group C","bachelor's degree","standard","none","math",63
"268","female","group D","high school","standard","none","math",69
"269","female","group D","associate's degree","standard","completed","math",88
"270","female","group E","some college","free/reduced","none","math",71
"271","male","group C","bachelor's degree","standard","none","math",69
"272","male","group C","some college","standard","none","math",58
"273","female","group D","associate's degree","free/reduced","none","math",47
"274","female","group D","some college","standard","none","math",65
"275","male","group B","some college","standard","completed","math",88
"276","male","group C","bachelor's degree","standard","none","math",83
"277","female","group C","some high school","standard","completed","math",85
"278","female","group E","high school","standard","completed","math",59
"279","female","group C","some high school","free/reduced","none","math",65
"280","male","group B","bachelor's degree","free/reduced","none","math",73
"281","male","group D","high school","standard","none","math",53
"282","male","group D","high school","standard","none","math",45
"283","female","group D","bachelor's degree","free/reduced","none","math",73
"284","female","group D","some college","free/reduced","completed","math",70
"285","female","group B","some high school","standard","none","math",37
"286","male","group B","associate's degree","standard","completed","math",81
"287","male","group E","associate's degree","standard","completed","math",97
"288","female","group B","some high school","standard","none","math",67
"289","male","group B","bachelor's degree","free/reduced","none","math",88
"290","male","group E","some high school","standard","completed","math",77
"291","male","group C","associate's degree","standard","none","math",76
"292","male","group D","some high school","standard","none","math",86
"293","male","group C","some high school","standard","completed","math",63
"294","female","group E","bachelor's degree","standard","none","math",65
"295","male","group D","high school","free/reduced","completed","math",78
"296","male","group B","associate's degree","free/reduced","none","math",67
"297","male","group A","some high school","standard","completed","math",46
"298","male","group E","associate's degree","standard","completed","math",71
"299","male","group C","high school","free/reduced","completed","math",40
"300","male","group D","associate's degree","free/reduced","none","math",90
"301","male","group A","some college","free/reduced","completed","math",81
"302","male","group D","some high school","free/reduced","none","math",56
"303","female","group C","associate's degree","standard","completed","math",67
"304","male","group B","associate's degree","standard","none","math",80
"305","female","group C","associate's degree","standard","completed","math",74
"306","male","group A","some college","standard","none","math",69
"307","male","group E","some college","standard","completed","math",99
"308","male","group C","some high school","standard","none","math",51
"309","female","group B","associate's degree","free/reduced","none","math",53
"310","female","group D","high school","free/reduced","none","math",49
"311","female","group B","associate's degree","standard","none","math",73
"312","male","group B","bachelor's degree","standard","none","math",66
"313","male","group D","bachelor's degree","standard","completed","math",67
"314","female","group C","associate's degree","free/reduced","completed","math",68
"315","female","group C","bachelor's degree","standard","completed","math",59
"316","male","group C","high school","standard","none","math",71
"317","female","group D","master's degree","standard","completed","math",77
"318","male","group C","associate's degree","standard","none","math",83
"319","male","group B","bachelor's degree","standard","none","math",63
"320","female","group D","associate's degree","free/reduced","none","math",56
"321","female","group C","high school","free/reduced","completed","math",67
"322","female","group E","high school","standard","none","math",75
"323","female","group C","some college","standard","none","math",71
"324","female","group C","some high school","free/reduced","none","math",43
"325","female","group C","high school","free/reduced","none","math",41
"326","female","group C","some college","standard","none","math",82
"327","male","group C","some college","standard","none","math",61
"328","male","group A","some college","free/reduced","none","math",28
"329","male","group C","associate's degree","standard","completed","math",82
"330","female","group B","some high school","standard","none","math",41
"331","male","group C","high school","standard","none","math",71
"332","male","group C","associate's degree","standard","none","math",47
"333","male","group E","associate's degree","standard","completed","math",62
"334","male","group B","associate's degree","standard","none","math",90
"335","female","group C","bachelor's degree","standard","none","math",83
"336","female","group B","some college","free/reduced","none","math",61
"337","male","group D","some high school","standard","completed","math",76
"338","male","group C","associate's degree","standard","none","math",49
"339","female","group B","some high school","free/reduced","none","math",24
"340","female","group D","some high school","free/reduced","completed","math",35
"341","male","group C","high school","free/reduced","none","math",58
"342","female","group C","high school","standard","none","math",61
"343","female","group B","high school","standard","completed","math",69
"344","male","group D","associate's degree","standard","completed","math",67
"345","male","group D","some college","standard","none","math",79
"346","female","group C","high school","standard","none","math",72
"347","male","group B","some college","standard","none","math",62
"348","female","group C","bachelor's degree","standard","completed","math",77
"349","male","group D","high school","free/reduced","none","math",75
"350","male","group E","associate's degree","standard","none","math",87
"351","female","group B","bachelor's degree","standard","none","math",52
"352","male","group E","some college","standard","none","math",66
"353","female","group C","some college","standard","completed","math",63
"354","female","group C","associate's degree","standard","none","math",46
"355","female","group C","some college","standard","none","math",59
"356","female","group B","bachelor's degree","standard","none","math",61
"357","male","group A","associate's degree","standard","none","math",63
"358","female","group C","some college","free/reduced","completed","math",42
"359","male","group D","some college","free/reduced","none","math",59
"360","female","group D","some college","standard","none","math",80
"361","female","group B","high school","standard","none","math",58
"362","male","group B","some high school","standard","completed","math",85
"363","female","group C","some college","standard","none","math",52
"364","female","group D","some high school","free/reduced","none","math",27
"365","male","group C","some college","standard","none","math",59
"366","male","group A","bachelor's degree","free/reduced","completed","math",49
"367","male","group C","high school","standard","completed","math",69
"368","male","group C","bachelor's degree","free/reduced","none","math",61
"369","female","group A","some high school","free/reduced","none","math",44
"370","female","group D","some high school","standard","none","math",73
"371","male","group E","some college","standard","none","math",84
"372","female","group C","some college","free/reduced","completed","math",45
"373","male","group D","some high school","standard","none","math",74
"374","female","group D","some college","standard","completed","math",82
"375","female","group D","bachelor's degree","standard","none","math",59
"376","male","group E","associate's degree","free/reduced","none","math",46
"377","female","group D","some high school","standard","none","math",80
"378","female","group D","master's degree","free/reduced","completed","math",85
"379","female","group A","some high school","standard","none","math",71
"380","male","group A","bachelor's degree","standard","none","math",66
"381","female","group B","associate's degree","standard","none","math",80
"382","male","group C","associate's degree","standard","completed","math",87
"383","male","group C","master's degree","free/reduced","none","math",79
"384","female","group E","some high school","free/reduced","none","math",38
"385","female","group A","some high school","free/reduced","none","math",38
"386","female","group E","some college","standard","none","math",67
"387","female","group E","bachelor's degree","standard","none","math",64
"388","female","group C","associate's degree","free/reduced","none","math",57
"389","female","group D","high school","standard","none","math",62
"390","male","group D","master's degree","standard","none","math",73
"391","male","group E","some high school","free/reduced","completed","math",73
"392","female","group D","some college","standard","none","math",77
"393","male","group E","some college","standard","none","math",76
"394","male","group C","associate's degree","standard","completed","math",57
"395","female","group C","some high school","standard","completed","math",65
"396","male","group A","high school","free/reduced","none","math",48
"397","female","group B","high school","free/reduced","none","math",50
"398","female","group C","associate's degree","standard","none","math",85
"399","male","group B","some high school","standard","none","math",74
"400","male","group D","some high school","standard","none","math",60
"401","female","group C","some high school","standard","completed","math",59
"402","male","group A","some college","standard","none","math",53
"403","female","group A","some college","free/reduced","none","math",49
"404","female","group D","high school","standard","completed","math",88
"405","female","group C","high school","standard","none","math",54
"406","female","group C","some high school","standard","none","math",63
"407","male","group B","associate's degree","standard","completed","math",65
"408","female","group B","associate's degree","standard","none","math",82
"409","female","group D","high school","free/reduced","completed","math",52
"410","male","group D","associate's degree","standard","completed","math",87
"411","female","group D","master's degree","standard","completed","math",70
"412","male","group E","some college","standard","completed","math",84
"413","male","group D","associate's degree","standard","none","math",71
"414","male","group B","some high school","standard","completed","math",63
"415","female","group C","bachelor's degree","free/reduced","completed","math",51
"416","male","group E","high school","standard","none","math",84
"417","male","group C","bachelor's degree","standard","completed","math",71
"418","male","group C","associate's degree","standard","none","math",74
"419","male","group D","some college","standard","none","math",68
"420","male","group E","high school","free/reduced","completed","math",57
"421","female","group C","associate's degree","free/reduced","completed","math",82
"422","female","group D","high school","standard","completed","math",57
"423","female","group D","master's degree","free/reduced","completed","math",47
"424","female","group A","some high school","standard","completed","math",59
"425","male","group B","some college","free/reduced","none","math",41
"426","female","group C","some college","free/reduced","none","math",62
"427","male","group C","bachelor's degree","standard","none","math",86
"428","male","group C","some high school","free/reduced","none","math",69
"429","male","group A","some high school","free/reduced","none","math",65
"430","male","group C","some high school","free/reduced","none","math",68
"431","male","group C","associate's degree","free/reduced","none","math",64
"432","female","group C","high school","standard","none","math",61
"433","male","group C","high school","standard","none","math",61
"434","female","group A","some high school","free/reduced","none","math",47
"435","male","group C","some high school","standard","none","math",73
"436","male","group C","some college","free/reduced","completed","math",50
"437","male","group D","associate's degree","standard","none","math",75
"438","male","group D","associate's degree","free/reduced","none","math",75
"439","male","group C","high school","standard","none","math",70
"440","male","group D","some high school","standard","completed","math",89
"441","female","group C","some college","standard","completed","math",67
"442","female","group D","high school","standard","none","math",78
"443","female","group A","some high school","free/reduced","none","math",59
"444","female","group B","associate's degree","standard","none","math",73
"445","male","group A","some high school","free/reduced","none","math",79
"446","female","group C","some high school","standard","completed","math",67
"447","male","group D","some college","free/reduced","none","math",69
"448","male","group C","high school","standard","completed","math",86
"449","male","group B","high school","standard","none","math",47
"450","male","group B","associate's degree","standard","none","math",81
"451","female","group C","some college","free/reduced","completed","math",64
"452","female","group E","some college","standard","none","math",100
"453","female","group C","associate's degree","free/reduced","none","math",65
"454","male","group C","some college","free/reduced","none","math",65
"455","female","group C","associate's degree","free/reduced","none","math",53
"456","male","group C","bachelor's degree","free/reduced","none","math",37
"457","female","group D","bachelor's degree","standard","none","math",79
"458","male","group D","associate's degree","free/reduced","none","math",53
"459","female","group E","bachelor's degree","standard","none","math",100
"460","male","group B","high school","standard","completed","math",72
"461","male","group C","bachelor's degree","free/reduced","none","math",53
"462","male","group B","some college","free/reduced","none","math",54
"463","female","group E","some college","standard","none","math",71
"464","female","group C","some college","free/reduced","none","math",77
"465","male","group A","bachelor's degree","standard","completed","math",75
"466","female","group C","some college","standard","none","math",84
"467","female","group D","associate's degree","free/reduced","none","math",26
"468","male","group A","high school","free/reduced","completed","math",72
"469","female","group A","high school","free/reduced","completed","math",77
"470","male","group C","some college","standard","none","math",91
"471","female","group C","associate's degree","standard","completed","math",83
"472","female","group C","high school","standard","none","math",63
"473","female","group C","associate's degree","standard","completed","math",68
"474","female","group D","some high school","standard","none","math",59
"475","female","group B","associate's degree","standard","completed","math",90
"476","female","group D","bachelor's degree","standard","completed","math",71
"477","male","group E","bachelor's degree","standard","completed","math",76
"478","male","group D","associate's degree","standard","none","math",80
"479","female","group D","master's degree","standard","none","math",55
"480","male","group E","associate's degree","standard","none","math",76
"481","male","group B","high school","standard","completed","math",73
"482","female","group D","associate's degree","free/reduced","none","math",52
"483","male","group C","some college","free/reduced","none","math",68
"484","male","group A","high school","standard","none","math",59
"485","female","group B","associate's degree","standard","none","math",49
"486","male","group C","high school","standard","none","math",70
"487","male","group D","some college","free/reduced","none","math",61
"488","female","group C","associate's degree","free/reduced","none","math",60
"489","male","group B","some high school","standard","completed","math",64
"490","male","group A","associate's degree","free/reduced","completed","math",79
"491","female","group A","associate's degree","free/reduced","none","math",65
"492","female","group C","associate's degree","standard","none","math",64
"493","female","group C","some college","standard","none","math",83
"494","female","group C","bachelor's degree","standard","none","math",81
"495","female","group B","high school","standard","none","math",54
"496","male","group D","high school","standard","completed","math",68
"497","female","group C","some college","standard","none","math",54
"498","female","group D","some college","free/reduced","completed","math",59
"499","female","group B","some high school","standard","none","math",66
"500","male","group E","some college","standard","none","math",76
"501","female","group D","master's degree","standard","none","math",74
"502","female","group B","associate's degree","standard","completed","math",94
"503","male","group C","some college","free/reduced","none","math",63
"504","female","group E","associate's degree","standard","completed","math",95
"505","female","group D","master's degree","free/reduced","none","math",40
"506","female","group B","some high school","standard","none","math",82
"507","male","group A","high school","standard","none","math",68
"508","male","group B","bachelor's degree","free/reduced","none","math",55
"509","male","group C","master's degree","standard","none","math",79
"510","female","group C","bachelor's degree","standard","none","math",86
"511","male","group D","some college","standard","none","math",76
"512","male","group A","some high school","standard","none","math",64
"513","male","group D","some high school","free/reduced","none","math",62
"514","female","group B","some high school","standard","completed","math",54
"515","female","group B","master's degree","free/reduced","completed","math",77
"516","female","group C","some high school","standard","completed","math",76
"517","female","group D","some college","standard","none","math",74
"518","female","group E","some college","standard","completed","math",66
"519","female","group D","some high school","standard","completed","math",66
"520","female","group B","high school","free/reduced","completed","math",67
"521","male","group D","some college","standard","none","math",71
"522","female","group C","associate's degree","standard","none","math",91
"523","male","group D","bachelor's degree","standard","none","math",69
"524","male","group C","master's degree","free/reduced","none","math",54
"525","male","group C","high school","standard","completed","math",53
"526","male","group E","some college","standard","none","math",68
"527","male","group C","some high school","free/reduced","completed","math",56
"528","female","group C","high school","free/reduced","none","math",36
"529","female","group D","bachelor's degree","free/reduced","none","math",29
"530","female","group C","associate's degree","standard","none","math",62
"531","female","group C","associate's degree","standard","completed","math",68
"532","female","group C","some high school","standard","none","math",47
"533","male","group E","associate's degree","standard","completed","math",62
"534","female","group E","associate's degree","standard","completed","math",79
"535","male","group B","high school","standard","completed","math",73
"536","female","group C","bachelor's degree","free/reduced","completed","math",66
"537","male","group C","associate's degree","standard","completed","math",51
"538","female","group D","high school","standard","none","math",51
"539","male","group E","bachelor's degree","standard","completed","math",85
"540","male","group A","associate's degree","standard","completed","math",97
"541","male","group C","high school","standard","completed","math",75
"542","male","group D","associate's degree","free/reduced","completed","math",79
"543","female","group C","associate's degree","standard","none","math",81
"544","female","group D","associate's degree","standard","none","math",82
"545","female","group D","master's degree","standard","none","math",64
"546","male","group E","some high school","free/reduced","completed","math",78
"547","female","group A","some high school","standard","completed","math",92
"548","male","group C","high school","standard","completed","math",72
"549","female","group C","high school","free/reduced","none","math",62
"550","male","group C","master's degree","standard","none","math",79
"551","male","group C","some high school","free/reduced","none","math",79
"552","male","group B","bachelor's degree","free/reduced","completed","math",87
"553","female","group B","associate's degree","standard","none","math",40
"554","male","group D","some college","free/reduced","none","math",77
"555","male","group E","associate's degree","standard","none","math",53
"556","female","group C","some college","free/reduced","none","math",32
"557","female","group C","associate's degree","standard","completed","math",55
"558","male","group C","master's degree","free/reduced","none","math",61
"559","female","group B","associate's degree","free/reduced","none","math",53
"560","male","group D","some high school","standard","none","math",73
"561","female","group D","some college","standard","completed","math",74
"562","female","group C","some college","standard","none","math",63
"563","male","group C","bachelor's degree","standard","completed","math",96
"564","female","group D","some college","free/reduced","completed","math",63
"565","male","group B","bachelor's degree","free/reduced","none","math",48
"566","male","group B","associate's degree","standard","none","math",48
"567","female","group E","bachelor's degree","free/reduced","completed","math",92
"568","female","group D","master's degree","free/reduced","completed","math",61
"569","male","group B","high school","free/reduced","none","math",63
"570","male","group D","bachelor's degree","free/reduced","none","math",68
"571","male","group B","some college","standard","completed","math",71
"572","male","group A","bachelor's degree","standard","none","math",91
"573","female","group C","some college","standard","none","math",53
"574","female","group C","high school","free/reduced","completed","math",50
"575","female","group E","high school","standard","none","math",74
"576","male","group A","associate's degree","free/reduced","completed","math",40
"577","male","group A","some college","standard","completed","math",61
"578","female","group B","high school","standard","none","math",81
"579","female","group B","some college","free/reduced","completed","math",48
"580","female","group D","master's degree","standard","none","math",53
"581","female","group D","some high school","standard","none","math",81
"582","female","group E","some high school","standard","none","math",77
"583","female","group D","bachelor's degree","free/reduced","none","math",63
"584","female","group D","associate's degree","standard","completed","math",73
"585","female","group D","some college","standard","none","math",69
"586","female","group C","associate's degree","standard","none","math",65
"587","female","group A","high school","standard","none","math",55
"588","female","group C","bachelor's degree","free/reduced","none","math",44
"589","female","group C","some college","standard","none","math",54
"590","female","group A","some high school","standard","none","math",48
"591","male","group C","some college","free/reduced","none","math",58
"592","male","group A","some high school","standard","none","math",71
"593","male","group E","bachelor's degree","standard","none","math",68
"594","female","group E","high school","standard","none","math",74
"595","female","group C","bachelor's degree","standard","completed","math",92
"596","female","group C","bachelor's degree","standard","completed","math",56
"597","male","group B","high school","free/reduced","none","math",30
"598","male","group A","some high school","standard","none","math",53
"599","female","group D","high school","standard","none","math",69
"600","female","group D","some high school","standard","none","math",65
"601","female","group D","master's degree","standard","none","math",54
"602","female","group C","high school","standard","none","math",29
"603","female","group E","some college","standard","none","math",76
"604","male","group D","high school","free/reduced","none","math",60
"605","male","group D","master's degree","free/reduced","completed","math",84
